wandb_id,loss variation,w_pred,w_comp,w_diss,w_pen,w_res,run name,best valid MSE,best position MSE,best angular MSE,best penetration
re13_fckn7rzi,1,1.0,1.0,0.1,1.0,1.0,re13-4,12506.142617088055,0.07352822435225762,1.8433816963648026,0
re14_h1scqr9f,1,1.0,1.0,0.03,30.0,1.0,re14-4,15410.137351923433,0.09888711551230094,1.424468469233813,0.00023458472873305158
re15_kttnwy7h,1,1.0,0.1,0.3,3.0,1.0,re15-4,15131.19330412464,0.07761351852953455,1.3790869940287225,0.004566943634474992
re16_uymkoh6p,1,1.0,1.0,3.0,0.1,1.0,re16-4,16517.64672390451,0.10665317597726436,1.6044083966568945,0
re17_6r3p7iua,1,1.0,0.3,1.0,100.0,1.0,re17-4,17642.280956679097,0.08064690843054739,1.5874599533028544,0.0019853785987652825
re18_o44kzni0,1,1.0,1.0,0.03,10.0,1.0,re18-4,16341.368224035537,0.09309861631766903,1.4482627512046977,8.219920677139941e-06
re19_rqg2epn8,1,1.0,100.0,0.3,10.0,1.0,re19-4,17561.43169549192,0.09386415416460467,1.4833983000430044,0.0035803379645894945
re20_hwyockia,1,1.0,0.1,0.03,10.0,1.0,re20-4,17294.671202418995,0.0954868941283653,1.6511979775337213,0.0046110735022511316
re21_h9xenly2,1,1.0,0.1,0.03,1.0,1.0,re21-4,15014.554819512034,0.09583957616248863,1.3754009486709253,0.004273832465331228
re22_cwff28p0,1,1.0,3.0,0.01,0.3,1.0,re22-4,17060.772726813688,0.12661289977504891,1.57438121301031,0.0001888386478178441
re23_jh82kxak,1,1.0,0.1,0.03,0.01,1.0,re23-4,17522.294246220037,0.1338916491650161,1.6054913863229245,0.00011278892333934813
re24_kmg1f2qd,1,1.0,10.0,0.3,1.0,1.0,re24-4,15989.91561529901,0.128666491776879,1.645094651037704,0.0003911949215023644
re25_0etkta21,1,1.0,0.3,0.01,0.01,1.0,re25-4,14857.154535896783,0.08776667605812305,1.3601329876730563,7.646878762550239e-05
re26_n7u3wmfw,1,1.0,30.0,0.01,0.01,1.0,re26-4,17038.370917572283,0.13299487750128763,1.606101480167767,0.0004262502448987961
re27_ej3ngglt,1,1.0,0.01,0.01,0.03,1.0,re27-4,16523.47931354669,0.0983566427326674,1.501876608086775,0.0021768103783156786
re28_2i7osez2,1,1.0,10.0,1.0,1.0,1.0,re28-4,17436.01284312216,0.12013117982016949,1.5613823550442623,0.0010261053988645254
re29_evcmtdyo,1,1.0,100.0,1.0,0.1,1.0,re29-4,15872.650409895108,0.09694013169484428,1.5500847773942261,0.0020210347525654437
re30_397ornir,1,1.0,10.0,0.3,0.03,1.0,re30-4,19869.25422520276,0.11537566547439362,1.735743141774549,0.0014228621190589517
re31_avlw0otb,1,1.0,0.3,0.3,0.03,1.0,re31-4,16857.42049406394,0.08470680764624935,1.504960726078016,0.0022371500040681102
re32_jc41tr9a,1,1.0,100.0,0.01,1.0,1.0,re32-4,17317.547872594278,0.15266144568569812,1.694761300985029,0.0002247934047645933
re33_xpesl2ui,1,1.0,0.03,0.1,0.01,1.0,re33-4,17510.744333551105,0.094682042681734,1.5659797854124613,0.007686693443222531
