wandb_id,run name,loss variation,w_comp,w_diss,w_pen
ie0099_y3x069a7,ie0099,1,0.1,0.1,10.0
ie0100_6aw9ijiv,ie0100,2,0.1,0.1,10.0
ie0101_m8hvzxi2,ie0101,3,0.1,0.1,10.0
ie0102_bnhivw4e,ie0102,1,0.1,0.1,100.0
ie0103_8cwzaodw,ie0103,2,0.1,0.1,100.0
ie0104_i3qzvor8,ie0104,3,0.1,0.1,100.0
ie0105_q14j1jqr,ie0105,1,0.1,1.0,0.01
ie0106_40tnzqrh,ie0106,2,0.1,1.0,0.01
ie0107_fvgw94uh,ie0107,3,0.1,1.0,0.01
ie0108_1nqng8jc,ie0108,1,0.1,1.0,0.1
ie0109_yfyj7mpl,ie0109,2,0.1,1.0,0.1
ie0110_m3fqfv0s,ie0110,3,0.1,1.0,0.1
ie0111_9ljmn797,ie0111,1,0.1,1.0,1.0
ie0112_tcv9c7vs,ie0112,2,0.1,1.0,1.0
ie0113_f2r6yrki,ie0113,3,0.1,1.0,1.0
ie0114_epn78rxi,ie0114,1,0.1,1.0,10.0
ie0115_8wpwxja2,ie0115,2,0.1,1.0,10.0
ie0116_5zczujqu,ie0116,3,0.1,1.0,10.0
ie0117_ldqhv6hr,ie0117,1,0.1,1.0,100.0
ie0118_ffih6m3i,ie0118,2,0.1,1.0,100.0
ie0119_k46y8p23,ie0119,3,0.1,1.0,100.0
ie0120_7182broq,ie0120,1,0.1,10.0,0.01
ie0121_rltxwipx,ie0121,2,0.1,10.0,0.01
ie0122_vl6du7jw,ie0122,3,0.1,10.0,0.01
ie0123_lfjhzk1o,ie0123,1,0.1,10.0,0.1
ie0124_sckfwhk3,ie0124,2,0.1,10.0,0.1
ie0125_pi7w7sh1,ie0125,3,0.1,10.0,0.1
ie0126_ghvt9kqm,ie0126,1,0.1,10.0,1.0
ie0127_w3njbnkp,ie0127,2,0.1,10.0,1.0
ie0128_wba2nrma,ie0128,3,0.1,10.0,1.0
ie0129_ntk8gumz,ie0129,1,0.1,10.0,10.0
ie0130_gom3pjnt,ie0130,2,0.1,10.0,10.0
ie0131_0qlgj182,ie0131,3,0.1,10.0,10.0
ie0132_a2l6upd0,ie0132,1,0.1,10.0,100.0
ie0133_2fxc2cm9,ie0133,2,0.1,10.0,100.0
ie0134_h5800s2x,ie0134,3,0.1,10.0,100.0
ie0135_i4di1uea,ie0135,1,0.1,100.0,0.01
ie0136_a2cmg8l6,ie0136,2,0.1,100.0,0.01
ie0137_lc2ruuj7,ie0137,3,0.1,100.0,0.01
ie0138_oguyayce,ie0138,1,0.1,100.0,0.1
ie0139_tb1r2ekj,ie0139,2,0.1,100.0,0.1
ie0140_prexhhuw,ie0140,3,0.1,100.0,0.1
ie0141_7vn3ao6v,ie0141,1,0.1,100.0,1.0
ie0142_bk3359qj,ie0142,2,0.1,100.0,1.0
ie0143_4fhwnvjg,ie0143,3,0.1,100.0,1.0
ie0144_14ougd1n,ie0144,1,0.1,100.0,10.0
ie0145_93ovs0xx,ie0145,2,0.1,100.0,10.0
ie0146_3smwsg16,ie0146,3,0.1,100.0,10.0
ie0147_wyqb8x7x,ie0147,1,0.1,100.0,100.0
ie0148_x7ijcrlb,ie0148,2,0.1,100.0,100.0
ie0149_pg893z5c,ie0149,3,0.1,100.0,100.0
ie0150_k11t5p09,ie0150,1,1.0,0.01,0.01
ie0151_mtzel7sm,ie0151,2,1.0,0.01,0.01
ie0152_rlfukqmo,ie0152,3,1.0,0.01,0.01
ie0153_i9m0ek0t,ie0153,1,1.0,0.01,0.1
ie0154_920r0nv7,ie0154,2,1.0,0.01,0.1
ie0155_n0xrae4b,ie0155,3,1.0,0.01,0.1
ie0156_onjj9u6n,ie0156,1,1.0,0.01,1.0
ie0157_4e2ysaek,ie0157,2,1.0,0.01,1.0
ie0158_zyeduem7,ie0158,3,1.0,0.01,1.0
ie0159_6yeuto6a,ie0159,1,1.0,0.01,10.0
ie0160_4mjfjuqs,ie0160,2,1.0,0.01,10.0
ie0161_g7rn15ys,ie0161,3,1.0,0.01,10.0
ie0162_ttxe9hsr,ie0162,1,1.0,0.01,100.0
ie0163_uffm6iag,ie0163,2,1.0,0.01,100.0
ie0164_k9xbm1kx,ie0164,3,1.0,0.01,100.0
ie0165_zwd7z82b,ie0165,1,1.0,0.1,0.01
ie0166_z1i1h583,ie0166,2,1.0,0.1,0.01
ie0167_crh6338n,ie0167,3,1.0,0.1,0.01
ie0168_djq76r8s,ie0168,1,1.0,0.1,0.1
ie0169_guz8l652,ie0169,2,1.0,0.1,0.1
ie0170_6am3i5w5,ie0170,3,1.0,0.1,0.1
ie0171_cwxgmauq,ie0171,1,1.0,0.1,1.0
ie0172_b9gzq2kz,ie0172,2,1.0,0.1,1.0
ie0173_q0m27swc,ie0173,3,1.0,0.1,1.0
ie0174_sxqc4cc8,ie0174,1,1.0,0.1,10.0
ie0175_veue3ylp,ie0175,2,1.0,0.1,10.0
ie0176_difdyfct,ie0176,3,1.0,0.1,10.0
ie0177_l0q6zzx7,ie0177,1,1.0,0.1,100.0
ie0178_lywf37m0,ie0178,2,1.0,0.1,100.0
ie0179_b9z04mhx,ie0179,3,1.0,0.1,100.0
ie0180_uizrcs8w,ie0180,1,1.0,1.0,0.01
ie0181_77g30n4w,ie0181,2,1.0,1.0,0.01
ie0182_pajgky69,ie0182,3,1.0,1.0,0.01
ie0183_6n58qqwn,ie0183,1,1.0,1.0,0.1
ie0184_8her2vew,ie0184,2,1.0,1.0,0.1
ie0185_7mhf4umu,ie0185,3,1.0,1.0,0.1
ie0186_4t2rhpyi,ie0186,1,1.0,1.0,10.0
ie0187_rhoi5f6t,ie0187,2,1.0,1.0,10.0
ie0188_tctpqk4o,ie0188,3,1.0,1.0,10.0
ie0189_7fuuw9rp,ie0189,1,1.0,1.0,100.0
