wandb_id,run name,loss variation,w_comp,w_diss,w_pen
4gfrswt3,he0060,1,0.01,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0060.txt
4jj2p7yi,he0061,2,0.01,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0061.txt
o9yfwy52,he0062,3,0.01,100.0,0.01 >> /home/bibit/dair_pll/logs/train_he0062.txt
7v1j0nno,he0063,1,0.01,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0063.txt
q96hka09,he0064,2,0.01,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0064.txt
l483a2ce,he0065,3,0.01,100.0,0.1 >> /home/bibit/dair_pll/logs/train_he0065.txt
wdptu4ja,he0066,1,0.01,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0066.txt
aouwdkg7,he0067,2,0.01,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0067.txt
85jyi1lk,he0068,3,0.01,100.0,1.0 >> /home/bibit/dair_pll/logs/train_he0068.txt
cp20k9jp,he0069,1,0.01,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0069.txt
spv1zk8f,he0070,2,0.01,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0070.txt
enqxyd2z,he0071,3,0.01,100.0,10.0 >> /home/bibit/dair_pll/logs/train_he0071.txt
rcc02pkh,he0072,1,0.01,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0072.txt
u3pcoa31,he0073,2,0.01,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0073.txt
ac0pmxtx,he0074,3,0.01,100.0,100.0 >> /home/bibit/dair_pll/logs/train_he0074.txt
gfjr45af,he0075,1,0.1,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0075.txt
0sq4jkiv,he0076,2,0.1,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0076.txt
3k8ohmmm,he0077,3,0.1,0.01,0.01 >> /home/bibit/dair_pll/logs/train_he0077.txt
au2hq0qj,he0078,1,0.1,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0078.txt
yh9sv477,he0079,2,0.1,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0079.txt
vy21xpwd,he0080,3,0.1,0.01,0.1 >> /home/bibit/dair_pll/logs/train_he0080.txt
v6my9n15,he0081,1,0.1,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0081.txt
s4xrr1dm,he0082,2,0.1,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0082.txt
hjmf3wv8,he0083,3,0.1,0.01,1.0 >> /home/bibit/dair_pll/logs/train_he0083.txt
d2a8t1ej,he0084,1,0.1,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0084.txt
a8k34vvg,he0085,2,0.1,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0085.txt
p3li5hal,he0086,3,0.1,0.01,10.0 >> /home/bibit/dair_pll/logs/train_he0086.txt
rkfd60tz,he0087,1,0.1,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0087.txt
208iohew,he0088,2,0.1,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0088.txt
bnwkchoz,he0089,3,0.1,0.01,100.0 >> /home/bibit/dair_pll/logs/train_he0089.txt
ywbpl2az,he0090,1,0.1,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0090.txt
9lzmj2du,he0091,2,0.1,0.1,0.01 >> /home/bibit/dair_pll/logs/train_he0091.txt
