wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE,best position MSE,best angular MSE,best penetration
ie0000_teu4ksa3,ie0000,1,0.01,0.01,0.01,16422.332805217964,0.09265559502072186,1.2587095947955027,0.00033510371712462445
ie0001_rb0gvffl,ie0001,2,0.01,0.01,0.01,16619.642776714216,0.10767842601680616,1.483142350508113,0.0
ie0002_xgnek0yq,ie0002,3,0.01,0.01,0.01,16349.671166056756,0.054385110707907955,1.5287850169143282,0.001630446512605346
ie0003_kjzlzcvu,ie0003,1,0.01,0.01,0.1,16897.55652721344,0.06711396447515326,1.1651342821853359,0.0014149081939017264
ie0004_zt2evgcm,ie0004,2,0.01,0.01,0.1,16734.358835617866,0.08080955251186406,1.4071493626754172,0.011189302296393932
ie0005_uspt2rys,ie0005,3,0.01,0.01,0.1,17588.773499566367,0.10419329793876209,1.2075920556661939,0.0021907834544731214
ie0006_485zu0wv,ie0006,1,0.01,0.01,1.0,15724.185821286144,0.054051512662593185,1.3820621443086014,0.0008271398843994993
ie0007_66e0g7ku,ie0007,2,0.01,0.01,1.0,16343.651525558593,0.10272958119795929,1.5338387995094702,0.0018948260879757442
ie0008_6yl1wxfb,ie0008,3,0.01,0.01,1.0,17278.09528342317,0.08696931526200735,1.401360488061322,0.01105795557426247
ie0009_bozyjd98,ie0009,1,0.01,0.01,10.0,18244.51510337,0.05312913509136345,1.2944653959185015,0.0004512750308635082
ie0010_2sc5mkpl,ie0010,2,0.01,0.01,10.0,14571.930717067415,0.12324506037896782,1.4381188304874644,0.00024913853221931667
ie0011_svhaec9u,ie0011,3,0.01,0.01,10.0,17187.206355776245,0.09079046987058081,1.4962870412354579,0.011173766475681478
ie0012_ockn44xq,ie0012,1,0.01,0.01,100.0,9167.688818213806,0.0509109245297104,0.8150804187319348,0.003951300329924282
ie0013_8w5nz1cu,ie0013,2,0.01,0.01,100.0,18050.243719134385,0.09753932294339804,1.4554593598056176,0.02047215133416459
ie0014_tnuc4zxu,ie0014,3,0.01,0.01,100.0,14593.684895504553,0.07061269595989123,1.3819419386770715,0.0006496551569669885
ie0015_oftbyxto,ie0015,1,0.01,0.1,0.01,16436.35517823832,0.050492568637295586,1.3970241814276836,0.0018713761544056997
ie0016_gqhihuwr,ie0016,2,0.01,0.1,0.01,17010.193636586846,0.08775585221557154,1.4978136229845198,0.0110780735046766
ie0017_75b2lmlv,ie0017,3,0.01,0.1,0.01,27145.504170511576,0.08550873631613079,1.471717746705267,0.0037952373511708644
ie0018_gpeyv0dc,ie0018,1,0.01,0.1,0.1,19226.223634701746,0.05887186994997441,1.6573614110284827,0.0015623669979182284
ie0019_wbo9rdwn,ie0019,2,0.01,0.1,0.1,17340.62736370003,0.08374642624123144,1.4420945452718237,0.011092488271185358
ie0020_1hlrga8e,ie0020,3,0.01,0.1,0.1,20003.304479018916,0.054433185090773564,1.3681922698890763,0.0041082314876767275
ie0021_y5bc6abf,ie0021,1,0.01,0.1,1.0,12172.543276120243,0.06650109468070478,1.4443125961727667,0.0009574204983542839
ie0022_hdwyqdyu,ie0022,2,0.01,0.1,1.0,16127.202855285486,0.10487423692494711,1.6168327496498807,0.0008694944256917531
ie0023_sihhbweq,ie0023,3,0.01,0.1,1.0,18223.596987385474,0.11580283500898822,1.5922741829302323,0.0075638240705744614
ie0024_4or3nm1h,ie0024,1,0.01,0.1,10.0,30100.924601827595,0.09523458792981657,2.1185561693875057,0.0007854868583143425
ie0025_vhms4tei,ie0025,2,0.01,0.1,10.0,15756.181909549348,0.11485277235255728,1.4771047746796364,0.0006413569861828119
ie0026_68qswp5h,ie0026,3,0.01,0.1,10.0,23270.700682032184,0.10332624861451459,1.6567668949421592,0.010313064767391803
ie0027_b8ki930p,ie0027,1,0.01,0.1,100.0,10765.186288237684,0.08317549733807852,1.0556807709366496,0.0024839439856202492
ie0028_ndcf80n4,ie0028,2,0.01,0.1,100.0,16445.429358176352,0.10092504601723233,1.5711133374464585,0.014640475057868245
ie0029_83a4mwwn,ie0029,3,0.01,0.1,100.0,17600.75355290738,0.0776596382606409,1.549212898427381,0.0015400311992966502
ie0030_imn26jou,ie0030,1,0.01,1.0,0.01,16672.5918190342,0.07933998586382426,1.3957202229241565,0.002564507523721833
ie0031_5wnyrhbu,ie0031,2,0.01,1.0,0.01,18653.814809917752,0.09737409351546655,1.5599464271021024,0.022661585597371733
ie0032_45k4yb0f,ie0032,3,0.01,1.0,0.01,18702.78822276959,0.07550139062053572,1.3534876240606668,0
ie0033_0yb0yf9h,ie0033,1,0.01,1.0,0.1,13019.86673642581,0.050681792228456,1.6137747782761251,0.0007180582051932104
ie0034_ix7x8sgc,ie0034,2,0.01,1.0,0.1,16228.138801227266,0.10312977232495006,1.4959121745280848,0.022439440154613785
ie0035_p17f6n4y,ie0035,3,0.01,1.0,0.1,20371.06644837384,0.08454268042767424,1.6348954677133578,0.010010353340887134
ie0036_38eu66b4,ie0036,1,0.01,1.0,1.0,11464.576357274394,0.052922478940174475,0.9599877475255093,0.0012923342701191612
ie0037_dcqdb1z4,ie0037,2,0.01,1.0,1.0,16675.125000029097,0.08625312307480763,1.4218667533015048,0.011250253636691963
ie0038_qxq1gyt5,ie0038,3,0.01,1.0,1.0,16831.518659897083,0.07327402657432408,1.3896832841022309,0.011132865307788127
ie0039_sxfn4pde,ie0039,1,0.01,1.0,10.0,11546.171870357603,0.05292837883021341,0.9129854663084942,0.0003190602239342414
ie0040_hq1fz3sg,ie0040,2,0.01,1.0,10.0,16641.159495916087,0.1016306125823116,1.4127592647156635,0.018733743850187404
ie0041_ge3bq66b,ie0041,3,0.01,1.0,10.0,18193.326040984397,0.06802825067813498,1.489177868573266,0.0018210303948317142
ie0042_xm0ycc0q,ie0042,1,0.01,1.0,100.0,18487.092698982167,0.05103547953788092,1.8665192998046358,0.0033229589288273596
ie0043_cwdtnxft,ie0043,2,0.01,1.0,100.0,19351.680961349914,0.09810574800897018,1.6286555052828546,0.015397094155919236
ie0044_0w9d4ea3,ie0044,3,0.01,1.0,100.0,19303.347860933965,0.08325281628358447,1.5320184145295985,0.011205700286422796
ie0045_rb1v38wf,ie0045,1,0.01,10.0,0.01,18898.57393443433,0.08312903415823006,1.6257422683179825,0.002041411187877167
ie0046_0e7oms4p,ie0046,2,0.01,10.0,0.01,17510.634832608266,0.09027957808000847,1.4662947195207097,0.02449638321009684
ie0047_4kszp9rd,ie0047,3,0.01,10.0,0.01,15812.890910336768,0.08253282426495676,1.1514543788834999,0
ie0048_9q26u3lz,ie0048,1,0.01,10.0,0.1,13172.02604767472,0.09048988145594929,0.9277306995070413,0.0007536069404507472
ie0049_01rm6kgm,ie0049,2,0.01,10.0,0.1,16528.586123284927,0.0770900248585353,1.6009428702638355,0.021342496787312173
ie0050_l8x6cypz,ie0050,3,0.01,10.0,0.1,23237.171204511527,0.12205698256598488,1.780077422728115,0.0008403836939446939
ie0051_qlc41kge,ie0051,1,0.01,10.0,1.0,16771.295917917094,0.1052823336138297,1.3611217293333575,0.0005893814076391518
ie0052_btak37r0,ie0052,2,0.01,10.0,1.0,18337.450127284017,0.0753669107760356,1.7139800728499917,0.017370952562803153
ie0053_jv47mjtm,ie0053,3,0.01,10.0,1.0,13010.022537919083,0.07506652154149704,1.1671512204244614,7.416212306348316e-05
ie0054_4zcayubj,ie0054,1,0.01,10.0,10.0,12385.819422720288,0.08536636742384571,1.019281808548913,0.009047705058686881
ie0055_zfvexjp0,ie0055,2,0.01,10.0,10.0,17824.180902725595,0.07621465994992538,1.4408764485859733,0.02189278273107264
ie0056_iig2dgw1,ie0056,3,0.01,10.0,10.0,17199.28226310578,0.08163774283870412,1.4897902509608643,0.011083727701059604
