wandb_id,run name,loss variation,w_comp,w_diss,w_pen,best valid MSE
ai1oj7gc,he0093,1,0.1,0.1,0.1,4479.084609057345
cqrh5g4q,he0094,2,0.1,0.1,0.1,11340.937624030197
x2spej8o,he0095,3,0.1,0.1,0.1,13295.013027504003
ypa19z9x,he0096,1,0.1,0.1,1.0,3780.0347402860107
hg1lz007,he0097,2,0.1,0.1,1.0,12912.954140847785
yp2i638u,he0098,3,0.1,0.1,1.0,11809.790916534861
0c9ww1f2,he0099,1,0.1,0.1,10.0,12148.190301050869
wtear9du,he0100,2,0.1,0.1,10.0,11655.919518453755
bk7f630a,he0101,3,0.1,0.1,10.0,12514.062476228546
ppv5k5zg,he0102,1,0.1,0.1,100.0,5398.231458334656
kdc3s38y,he0103,2,0.1,0.1,100.0,14827.393958833161
pycaoyk6,he0104,3,0.1,0.1,100.0,7761.609772127724
hnb3gxr1,he0105,1,0.1,1.0,0.01,3885.438454308604
7gyn5uqt,he0106,2,0.1,1.0,0.01,14072.74949433859
1wx85s1x,he0107,3,0.1,1.0,0.01,14283.519628127448
arxo3a6z,he0108,1,0.1,1.0,0.1,4065.1201476877627
5jx44tvn,he0109,2,0.1,1.0,0.1,11424.579285428033
bj167g8h,he0110,3,0.1,1.0,0.1,17537.028580468184
sikic97q,he0111,1,0.1,1.0,1.0,6528.36649121924
rbtkrzh6,he0112,2,0.1,1.0,1.0,11973.625563857979
dtrqc4q2,he0113,3,0.1,1.0,1.0,15212.153319993311
qnignbxp,he0114,1,0.1,1.0,10.0,5661.926341896028
e4t7hzvg,he0115,2,0.1,1.0,10.0,11657.257337946043
qknh4han,he0116,3,0.1,1.0,10.0,10063.608668510033
cdtkfxo6,he0117,1,0.1,1.0,100.0,3950.12100612572
8uazx724,he0118,2,0.1,1.0,100.0,11587.385036877944
ttwegi9t,he0119,3,0.1,1.0,100.0,9589.437164017862
1553um6d,he0120,1,0.1,10.0,0.01,11067.216314944115
chi55yev,he0121,2,0.1,10.0,0.01,11162.468575435507
h0uxfcm6,he0122,3,0.1,10.0,0.01,5494.840037505252
1gwgoe01,he0123,1,0.1,10.0,0.1,6431.718930833282
cm3j3psw,he0124,2,0.1,10.0,0.1,10006.484477404843
a4i5jy3w,he0125,3,0.1,10.0,0.1,10858.668025604344
i28x7s8p,he0126,1,0.1,10.0,1.0,10657.108021197619
u3f0rpyp,he0127,2,0.1,10.0,1.0,11224.222664435185
7vopygcj,he0128,3,0.1,10.0,1.0,17407.42615359289
5u06mrjq,he0129,1,0.1,10.0,10.0,3107.414651464746
s9djyi3j,he0130,2,0.1,10.0,10.0,10095.176276513292
