wandb_id,loss variation,w_pred,w_comp,w_diss,w_pen,w_res,run name,best valid MSE,best position MSE,best angular MSE,best penetration
ie0000_1zt3kivs,1,1.0,0.0001,0.0001,0.01,1.0,ie0000,18176.3851057361,0.10734439497669779,1.8531861347512506,0.012549402516630784
ie0001_gleqgfjm,2,1.0,0.0001,0.0001,0.01,1.0,ie0001,18110.834050446756,0.10306459205076893,1.714985026514772,0.014639931006599822
ie0002_4jafzu4j,3,1.0,0.0001,0.0001,0.01,1.0,ie0002,16527.822004542046,0.1022944748006076,1.5492890936079557,0.011624795055295765
ie0003_qmnn2vop,1,1.0,0.0001,0.0001,0.1,1.0,ie0003,12935.975080181619,0.10624604176676913,1.353164660187321,0.011188909707491937
ie0004_uyivmn4n,2,1.0,0.0001,0.0001,0.1,1.0,ie0004,20764.81757318583,0.08902298823335492,1.5845588673702253,0.0168665869825199
ie0005_imytcpel,3,1.0,0.0001,0.0001,0.1,1.0,ie0005,19128.017887806993,0.10099053783101491,1.8837861416600454,0.013427977079682737
ie0006_t1g2mzam,1,1.0,0.0001,0.0001,1.0,1.0,ie0006,19102.36632928803,0.11597321481538599,1.5788867299690845,0.01588992904099422
ie0007_e0ivedym,2,1.0,0.0001,0.0001,1.0,1.0,ie0007,20449.921285728644,0.09059307933893862,1.831478270865965,0.016389754000309488
ie0008_v2e8g2zv,3,1.0,0.0001,0.0001,1.0,1.0,ie0008,22346.488692900057,0.1018605212584325,1.9385018826801494,0.012748866106573824
ie0009_bco90cun,1,1.0,0.0001,0.0001,10.0,1.0,ie0009,25313.738749627148,0.09588520868786868,2.006238087074705,0.004015523231631667
ie0010_7ytglka6,2,1.0,0.0001,0.0001,10.0,1.0,ie0010,19804.55352924025,0.11346714209219975,1.6903072284409693,0.013783656985002524
ie0011_xnvp5si7,3,1.0,0.0001,0.0001,10.0,1.0,ie0011,20141.43144713282,0.13245067240525116,1.8199161697227968,0.011625530164635144
ie0012_e90bykok,1,1.0,0.0001,0.0001,100.0,1.0,ie0012,21363.21241101434,0.10902243429102715,1.5860154778781006,0.010874572787283068
ie0013_h90pclh2,2,1.0,0.0001,0.0001,100.0,1.0,ie0013,16713.670484430895,0.12078796367097694,1.6748144199894393,0.0149473437212371
ie0014_2djrblne,3,1.0,0.0001,0.0001,100.0,1.0,ie0014,16759.803307448587,0.09539447635876751,1.5368439941184504,0.017408056340076243
ie0015_p5fgg0vn,1,1.0,0.0001,0.0001,1000.0,1.0,ie0015,18748.241941352197,0.1082812686687446,1.6712816309487475,0.0077250528084621874
ie0016_r3lx5kdv,2,1.0,0.0001,0.0001,1000.0,1.0,ie0016,20031.787179680694,0.09215899298924124,1.7829392565672257,0.012791650785194822
ie0017_wr59qfca,3,1.0,0.0001,0.0001,1000.0,1.0,ie0017,20898.001516649692,0.10893223456752402,1.642070455113062,0.015967840718257797
ie0018_mnkxf44k,1,1.0,0.0001,0.001,0.01,1.0,ie0018,20650.244767970704,0.09202180869480003,1.6369084747908582,0.012389902433608184
ie0019_du6gh9fv,2,1.0,0.0001,0.001,0.01,1.0,ie0019,24720.623445906036,0.10686709130846844,1.8301318164234293,0.014027860468445424
ie0020_ywsmi91s,3,1.0,0.0001,0.001,0.01,1.0,ie0020,20907.618929477634,0.11344654258199395,1.6706933623035662,0.012413559623596566
ie0021_v6b6gmxd,1,1.0,0.0001,0.001,0.1,1.0,ie0021,15818.88162825714,0.10240960498690618,1.4685354287099335,0.013540398469529435
ie0022_lyqq5bd4,2,1.0,0.0001,0.001,0.1,1.0,ie0022,20396.324658194353,0.10193948032147335,1.6860898487257001,0.0161286980123382
ie0023_byl39wnm,3,1.0,0.0001,0.001,0.1,1.0,ie0023,26324.437787689232,0.10594949149730218,2.066878801107204,0.010053951687540419
ie0024_v2lp1xwm,1,1.0,0.0001,0.001,1.0,1.0,ie0024,19799.192707993607,0.10538747737492035,1.6999669447419399,0.011752643686910418
ie0025_lswbi8d4,2,1.0,0.0001,0.001,1.0,1.0,ie0025,19800.698968441644,0.1135335243635274,2.0088454339045168,0.011975576288841865
ie0026_8gwmn93l,3,1.0,0.0001,0.001,1.0,1.0,ie0026,22820.80827769761,0.09874248976589096,1.895810050720597,0.014211954402650996
ie0027_re35z4w9,1,1.0,0.0001,0.001,10.0,1.0,ie0027,16660.863262521663,0.11418390482112356,1.527078965854766,0.012106139955230345
ie0028_aet3xrd7,2,1.0,0.0001,0.001,10.0,1.0,ie0028,21748.63172621262,0.09915918516549618,2.1524394076689237,0.013046864083724496
ie0029_4erwhypq,3,1.0,0.0001,0.001,10.0,1.0,ie0029,20880.766376772917,0.08982022975457252,1.7054131937294454,0.015656417520145453
ie0030_ijqmz56f,1,1.0,0.0001,0.001,100.0,1.0,ie0030,16623.35670431645,0.09720606947787078,1.7488160552649392,0.005365776877815576
ie0031_q6244eow,2,1.0,0.0001,0.001,100.0,1.0,ie0031,17015.62086564466,0.09360903848124345,1.6395745936350299,0.013630503276529891
ie0032_wjl8jxkb,3,1.0,0.0001,0.001,100.0,1.0,ie0032,19158.74811293296,0.09790925084253299,1.831617869517744,0.01027291481515787
ie0033_6ropv0kx,1,1.0,0.0001,0.001,1000.0,1.0,ie0033,21026.139779883306,0.09815595707691148,1.5560075807778797,0.008947553609287163
ie0034_do3cdtr5,2,1.0,0.0001,0.001,1000.0,1.0,ie0034,18582.83772641136,0.10363962946703358,1.789435208072875,0.012742850038759749
ie0035_t0v1t0yf,3,1.0,0.0001,0.001,1000.0,1.0,ie0035,18690.421256290043,0.09718270031460992,1.4980926248887505,0.011008565422612405
ie0036_p57pdajb,1,1.0,0.0001,0.01,0.01,1.0,ie0036,21129.11623778375,0.11641166709352253,1.783690525654611,0.013401196363984059
ie0037_di6uu8ca,2,1.0,0.0001,0.01,0.01,1.0,ie0037,21325.312736372925,0.10312008687709437,1.7656253628403287,0.015299884364199337
ie0038_4k9x2952,3,1.0,0.0001,0.01,0.01,1.0,ie0038,19386.06722032558,0.0894193350372721,1.7822837614339366,0.012663066451060776
ie0039_02zva47j,1,1.0,0.0001,0.01,0.1,1.0,ie0039,19858.69449026884,0.09020678249341012,1.7690959220231994,0.012823145779949998
ie0040_925mfjl8,2,1.0,0.0001,0.01,0.1,1.0,ie0040,19073.82183827118,0.09689816608304613,1.8028330730224875,0.01610774787027275
ie0041_sefube6v,3,1.0,0.0001,0.01,0.1,1.0,ie0041,20246.61259803916,0.09047673699398198,1.807475058555215,0.011413778592605506
ie0042_guj0tysr,1,1.0,0.0001,0.01,1.0,1.0,ie0042,20617.086328598598,0.09593303981176707,1.8414363794717399,0.009230571940759283
ie0043_8wi6m6c7,2,1.0,0.0001,0.01,1.0,1.0,ie0043,22430.066456335553,0.10737221833797728,2.0448725289431477,0.013326018040955189
